topic,topic_id,bias_id,title,source,bias,desc.
Homeland Security- Lean Right,76,4,VA: Religious Exemption Requests for Vaccine Won't Be Challenged,Newsmax (News), Lean Right,"The Department of Veteran Affairs (VA) will not challenge staff on religious exemption requests for the coronavirus vaccine, the Washington Examiner ..."
Homeland Security - moderate,76,3,South Carolina Republican Introduces Bill to Federally Decriminalize Marijuana,AllSides Headline Roundup,moderate,"On Monday, Rep. Nancy Mace (R-S.C.) introduced a bill that would federally decriminalize marijuana. The proposal, titled the States Reform Act, would remove..."
Homeland Security- Left,76,2,"California And NYC Public Employees, As Well As VA Health Workers, Have New Vaccine Mandates",BuzzFeed News, Left,"In a bid to counter what some officials have described as a “pandemic of the unvaccinated,” the most populous US state, the country's largest city,..."
Homeland Security- Lean Right,76,4,America’s Veterans Are Killing Themselves at an Alarming Rate: Report,The Epoch Times, Lean Right,"After an improvised explosive device (IED) left Army Sgt. Dominic McDaniel severely injured and unable to continue fighting in Iraq, the wounded combat veteran..."
Homeland Security - moderate,76,3,White House unveils effort to address military toxic exposures,Axios,moderate,"The White House on Thursday announced a new strategy to identify and treat health issues in veterans who may have been exposed to chemical, physical..."
Homeland Security- Lean Left,76,1,Department of Veterans Affairs requiring all medical staff to get vaccinated,CBS News (Online), Lean Left,"The Department of Veterans Affairs is requiring all medical personnel to get vaccinated against COVID-19, the first federal agency-wide mandate of its kind...."
Homeland Security- Right,76,5,Biden Snaps At Female Reporter Over Question: ‘You Are Such A Pain In The Neck’,The Daily Wire, Right,President Joe Biden snapped at a female reporter on Monday after she asked a question that was not related to his meeting with Iraqi Prime Minister Mustafa Al-...
Homeland Security - moderate,76,3,Biden announces new strategy to reduce military and veteran suicides,Axios,moderate,President Biden announced on Tuesday a new strategy to reduce military and veteran suicide that includes promoting safe firearm storage and...
Homeland Security- Lean Left,76,1,'Do right by that sacrifice': Veterans serving in Congress have a Memorial Day message for Americans,USA TODAY, Lean Left,Memorial Day is a federal holiday that commemorates the lives of American troops who died in service to the country. While lawmakers across Washington...
Homeland Security- Lean Right,76,4,"On Memorial Day, Remember Skepticism Toward a Large, Standing Military",Reason, Lean Right,"In recent years, it's become common to thank both retired and active-duty military personnel for their service – an expression met with various measures..."
Homeland Security - moderate,76,3,Cost Of Caring For Post-9/11 War Veterans Could Reach $2.5 Trillion By 2050—Report,Newsweek,moderate,"The total cost of caring for veterans who served in Afghanistan and Iraq could reach $2.5 trillion by 2050, according to a new report.

Providing benefits..."
Homeland Security- Left,76,2,Our Government Needs to Prioritize Veteran Wellbeing Over Endless War,The Nation, Left,"“I got out of the Marines and within a few years, 15 of my buddies had killed themselves,” one veteran rifleman who served two tours in both Afghanistan and..."
Homeland Security- Right,76,5,Veterans Rip Kamala Harris for Tone Deaf Memorial Day Weekend Tweet,Breitbart News, Right,"Veterans ripped Vice President Kamala Harris for her Memorial Day weekend tweet that made no mention of the purpose of Memorial Day, which is to honor those..."
Homeland Security - moderate,76,3,Will ‘BRAC for VA’ lead to veterans hospital closures or building more clinics?,Military Times,moderate,"The Defense Department’s past base closure rounds have proven complicated and contentious for lawmakers, especially in communities that lost military..."
Homeland Security- Lean Left,76,1,Disabled Veteran Sentenced To Prison Time In Alabama For Legally-Obtained Cannabis,High Times, Lean Left,"At a time when America is trying to right its wrongs when it comes to the treatment of people of color and the war on drugs over the past few centuries, a..."
Housing and Homelessness- Lean Right,77,4,How Biden's infrastructure victory lap could disappoint Democrats,Washington Examiner, Lean Right,"President Joe Biden launched a publicity tour touting his newly passed $1.2 trillion bipartisan infrastructure bill, but political operatives in both..."
Housing and Homelessness - moderate,77,3,Biden signs $1 trillion infrastructure bill,Reuters,moderate,"In need of a political boost, President Joe Biden will sign a $1 trillion infrastructure bill on Monday at a ceremony expected to draw Democrats and some..."
Housing and Homelessness- Lean Left,77,1,Biden signs bipartisan infrastructure bill with Republicans on hand to celebrate win,ABC News (Online), Lean Left,"After months of negotiations, a massive bipartisan infrastructure bill that promises significant investments in every pocket of the country got..."
Housing and Homelessness- Lean Right,77,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in..."
Housing and Homelessness - moderate,77,3,Biden Signs $1.2T Infrastructure Bill Into Law,AllSides Headline Roundup,moderate,President Joe Biden signed his $1.2 trillion Infrastructure Investment and Jobs Act into law Monday afternoon during a ceremony on the White House South Lawn....
Housing and Homelessness- Left,77,2,America's Only LGBTQ Historic District Is Falling Apart,Vice, Left,"One of North America’s first openly lesbian poets launched her career by pissing off H.P. Lovecraft.

In 1918, at the age of 19, Elsa Gidlow started..."
Housing and Homelessness- Right,77,5,Here Are The Conservatives Suing Biden Over His ‘Unconstitutional’ Vaccine Coercion,The Federalist, Right,At least 19 states have already begun to legally pursue action against the Biden administration for forcing medical coercion on federal contractors...
Housing and Homelessness - moderate,77,3,Kansas Legislature edits video of public hearing to omit profane rant targeting a journalist,Poynter,moderate,"The Kansas State Legislature has altered video footage of a recent hearing to omit a profane rant targeting a journalist, raising questions about the..."
Housing and Homelessness- Lean Left,77,1,Column: Biden’s in deep trouble. He can still bounce back,Los Angeles Times, Lean Left,"When Joe Biden ran for president in 2020, he had all the advantages of a nonincumbent in a year when everything had gone wrong.

Biden waged a careful,..."
Housing and Homelessness- Lean Right,77,4,19 States Sue Biden Administration Over COVID-19 Vaccine Mandate,The Epoch Times, Lean Right,Several U.S. states on Friday mounted multiple federal lawsuits against the Biden administration over its COVID-19 vaccine mandate for federal...
Housing and Homelessness - moderate,77,3,Citizens in Advanced Economies Want Significant Changes to Their Political Systems,Pew Research Center,moderate,"As citizens around the world continue to grapple with a global pandemic and the changes it has brought to their everyday lives, many are also expressing a..."
Housing and Homelessness- Lean Left,77,1,How These Ultrawealthy Politicians Avoided Paying Taxes,ProPublica, Lean Left,"As a member of Congress, Jared Polis was one of the loudest Democrats demanding President Donald Trump release his tax returns.

At a rally in Denver in 2017..."
Housing and Homelessness- Lean Right,77,4,China’s Vain Struggle For Covid Zero,The American Conservative, Lean Right,"In pursuit of the mythical Covid zero, China is now pushing vaccines on children as young as three years old.

Thus far, China has administered more than 2.2..."
Housing and Homelessness - moderate,77,3,Hundreds of port workers in Italy are striking against a new vaccine mandate,Quartz,moderate,"Italy’s new covid-19 rules went into effect on Oct. 15, prompting labor strikes and protests across the country. The mandate, one of the strictest in the world..."
Housing and Homelessness- Left,77,2,"As President Biden negotiates the final size and scope of the Build Back Better Act with fellow Democrats, Senator Joe Manchin of West Virginia has emerged as a major hurdle to his agenda. The conservative Democrat and his family would potentially profit ",Democracy Now, Left,"As President Biden negotiates the final size and scope of the Build Back Better Act with fellow Democrats, Senator Joe Manchin of West Virginia has emerged as..."
Humor and Satire- Lean Right,78,4,Health Care Provisions of Democratic Spending Bill Would Add More than $500 Billion to the Deficit,Reason, Lean Right,"The massive Democratic spending package now working its way through Congress is not, strictly speaking, a health care bill. But it's not not a health..."
Humor and Satire - moderate,78,3,A surge in the US affordable housing supply is coming from people who can’t afford their homes,Quartz,moderate,"More affordable housing is finally coming back onto the market. The pandemic-triggered housing boom in the US, which saw average prices rise 13.2%..."
Humor and Satire- Left,78,2,How Disabled People Are Shut Out of Housing,Vice, Left,"Cal Grevers is 28, but feels like an “eternal teenager” – infantilised by barriers that block him from moving out of his parents’ home in Edinburgh. ..."
Humor and Satire- Lean Right,78,4,"420,000 homeless kids went missing from schools’ rolls last year. They may never be found",Deseret News, Lean Right,"A week before school started in the sunny desert city of St. George, Utah, Mike Carr waited at the front desk of the only emergency youth shelter in this..."
Humor and Satire - moderate,78,3,3-D Printed Houses Are Sprouting Near Austin as Demand for Homes Grows,Wall Street Journal (News),moderate,"A major home builder is teaming with a Texas startup to create a community of 100 3-D printed homes near Austin, gearing up for what would be by far the..."
Humor and Satire- Left,78,2,Democrats have no plan to fight housing inflation,Vox, Left,"Inflation has taken center stage, and the White House desperately wants its signature bill to be the solution.

On Wednesday, the Bureau of Labor..."
Humor and Satire- Right,78,5,U.S. New Home Sales Beat Expectations; Supply Near 13-Year High,One America News Network (OAN), Right,"Sales of new U.S. single-family homes increased for a second straight month in August, but demand for housing has probably peaked after a COVID-19 pandemic-..."
Humor and Satire - moderate,78,3,"In New Mexico, a wildlife refuge with urban roots",Christian Science Monitor,moderate,"From her office in the visitor center at the still-under-construction Valle de Oro National Wildlife Refuge, Jennifer Owen-White has a perfect view of the fuel..."
Humor and Satire- Lean Left,78,1,Cities with empty offices see new room to expand housing,Politico, Lean Left,"To see how the Covid-19 pandemic has changed America’s downtowns, all you have to do is stand in the subway station at Times Square on a weekday..."
Humor and Satire- Lean Right,78,4,Supreme Court ends federal eviction moratorium,New York Post (News), Lean Right,The US Supreme Court on Thursday night struck down a federal eviction moratorium that was recently extended by President Biden’s administration...
Humor and Satire - moderate,78,3,They didn't pay rent and stole the fridge. Pandemic spawns nightmare tenants,NPR (Online News),moderate,"Just before the pandemic, Nitin Bajaj and his wife, Nimisha Lotia, rented an apartment they own in Los Angeles to two young women.

""They were really nice to..."
Humor and Satire- Left,78,2,Democrats Come To Grips With Building Back Smaller,HuffPost, Left,"Democrats have spent months trying to pass a multitrillion-dollar expansion of government programs designed to help families, lift people out of poverty,..."
Humor and Satire- Right,78,5,‘The Court’s Hands Are Tied’: Federal Judge Upholds New Eviction Moratorium,The Daily Caller, Right,"A federal judge ruled Friday that the Biden administration could continue to enforce its new eviction moratorium, but cast doubt on its legality.

District..."
Humor and Satire - moderate,78,3,"Here’s what’s in Democrats’ big social-spending bill, as community college, key climate program seen nixed",MarketWatch,moderate,"Negotiations continue among Democratic moderates and progressives over President Joe Biden’s “Build Back Better” plan, a sweeping proposal targeting “human..."
Humor and Satire- Lean Left,78,1,"Ahead of the recall, Newsom lets a polarizing housing bill sit on his desk.",New York Times (News), Lean Left,"Sitting among the hundreds of unsigned bills on Gov. Gavin Newsom’s desk is a measure called Senate Bill 9, which would allow duplexes on..."
Immigration- Right,79,5,Where John Durham’s Investigation Is Heading,Andrew C. McCarthy, Right,Last week’s indictment of Igor Danchenko has the commentariat buzzing. If special counsel John Durham has cracked the core of the Russiagate...
Immigration - moderate,79,3,The media’s epic fail,Axios,moderate,"A reckoning is hitting news organizations for years-old coverage of the 2017 Steele dossier, after the document's primary source was charged with lying to..."
Immigration- Left,79,2,The Crippling Blow for the Steele Dossier,New York Magazine, Left,"Christopher Steele, the former MI6 spy who compiled the notorious dossier during the 2016 campaign alleging ties between Donald Trump and Russia, made a..."
Immigration- Lean Right,79,4,DOJ and FBI gave cover to Steele dossier source accused of lying,Washington Examiner, Lean Right,"The Justice Department and the FBI continued defending their use of information from Christopher Steele’s main source, Igor Danchenko, even after interviews..."
Immigration - moderate,79,3,Trump-Russia Steele dossier analyst Igor Danchenko pleads not guilty in FBI lie case prosecuted by John Durham,CNBC,moderate,The analyst charged with lying to FBI agents about his work on a controversial Steele Dossier linking Russia to former President Donald Trump...
Immigration- Left,79,2,Analyst Who Reported Trump’s ‘Pee Tape’ Rumor Was Just Arrested,Vice, Left,"Federal law enforcement have arrested Igor Danchenko, a Russian analyst who reported the infamous “pee tape” rumor involving President Donald Trump...."
Immigration- Right,79,5,The Dossier Deceit,National Review, Right,We learn from special counsel John Durham’s indictment of Igor Danchenko that “the FBI ultimately devoted substantial resources attempting to...
Immigration - moderate,79,3,America’s Return to the Moon Will Have to Wait a Year,Wall Street Journal (News),moderate,"U.S. astronauts are now expected to return to the moon in 2025 instead of 2024, with NASA Administrator Bill Nelson describing the earlier time frame as..."
Immigration- Left,79,2,Latest US military hypersonic test fails,CNN (Online News), Left,"The US suffered a setback in the race with China and Russia to develop hypersonic weapons when its latest test failed, the Pentagon said in a..."
Immigration- Lean Right,79,4,"Biden meets Ukraine president, pledges U.S. support against Russian aggression",Washington Times, Lean Right,President Biden on Wednesday reassured Ukrainian President Volodymyr Zelenskyy that the U.S. will stand by Ukraine in the face of...
Immigration - moderate,79,3,Indictment of Steele dossier source is more bad news for multiple media outlets,Erik Wemple,moderate,MSNBC host Rachel Maddow in December 2017 aired a special report on the Trump-Russia dossier compiled by former British intelligence officer Christopher Steele...
Immigration- Lean Left,79,1,Russia allows methane leaks at planet’s peril,Washington Post, Lean Left,"On the morning of Friday, June 4, an underground gas pipeline running through the ancient state of Tatarstan sprang a leak. And not a small one.

In a..."
Immigration- Right,79,5,It Increasingly Looks Like Tucker Carlson’s Private Emails Were Leaked To The Media By The Government,The Daily Caller, Right,A report released Wednesday is shedding further light into Tucker Carlson’s bombshell allegation that the National Security Agency (NSA) obtained his private...
Immigration - moderate,79,3,Perspectives: Durham Probe Indicts Steele Dossier Source,AllSides Headline Roundup,moderate,"Last Thursday, the primary source for the 2016 “Steele dossier” of allegations against then-candidate Donald Trump was arrested and charged with lying to the..."
Immigration- Lean Left,79,1,FBI agents swarm Washington home of Russian oligarch Oleg Deripaska,NBC News (Online), Lean Left,"FBI agents on Tuesday swarmed the home of Russian oligarch Oleg Deripaska in Washington, D.C., an agency spokesperson confirmed to NBC News.

The reason for..."
Impeachment- Right,80,5,Judge Rejects Defense Request to Remove Jesse Jackson from Ahmaud Arbery Trial,National Review, Right,The judge presiding over the Ahmaud Arbery trial rejected the defense team’s request to remove civil rights activist Jesse Jackson from the court...
Impeachment - moderate,80,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...
Impeachment- Left,80,2,What Kyle Rittenhouse's tears reveal about America,CNN (Opinion), Left,"Despite last year's demonstrations supporting racial justice and substantive efforts at political reform, the system that devalues Black lives remains largely..."
Impeachment- Right,80,5,The Book Version Of The New York Times’s 1619 Project Doubles Down On Junk History,The Federalist, Right,"The New York Times has produced a forthcoming book version of its error-riddled 1619 Project, whose outrageous central claim is that slavery and racism are the..."
Impeachment - moderate,80,3,"Biden says the January 6 insurrection was 'about white supremacy,' and that hate doesn't go away, 'it only hides'",Insider,moderate,"Toward the end of his speech on Thursday in front of the Martin Luther King Jr. monument in Washington, President Joe Biden said the January 6..."
Impeachment- Left,80,2,Judge In Kyle Rittenhouse Trial Called Out For Strange Joke About 'Asian Food',HuffPost, Left,"The judge presiding over the Kyle Rittenhouse murder trial in Kenosha, Wisconsin, made a joke Thursday that critics slammed as racially charged and..."
Impeachment- Right,80,5,Biden calls Satchel Paige 'the great negro' in latest gaffe,Fox News (Online News), Right,"President Biden referred to the late baseball player Satchel Paige as ""the great negro"" before correcting himself during his Veterans Day address at..."
Impeachment - moderate,80,3,Perspectives: Colin Powell’s Death and Legacy,AllSides Headline Roundup,moderate,"Former Secretary of State Colin Powell’s death on Monday prompted an outpouring of opinion articles discussing his death and legacy. Powell, 84, died of..."
Impeachment- Left,80,2,"California law school, named for a man who funded the killing of Native Americans, moves to change its name",CNN (Online News), Left,"A San Francisco law school named for a man who orchestrated a massacre of Native Americans is moving to change its name.

The University of California..."
Impeachment- Lean Right,80,4,McDonald’s CEO apologizes for texts to Chicago mayor that sparked protest,New York Post (News), Lean Right,McDonald’s head honcho Chris Kempczinski has issued an apology for his texts to the mayor of Chicago that sparked protests by critics who accused the...
Impeachment - moderate,80,3,Curious how systemic racism works? Check out your neighborhood.,Christian Science Monitor,moderate,"Like most self-perpetuating systems, systemic racism masquerades as the norm. But as the history of housing discrimination illustrates, it’s a human-made..."
Impeachment- Lean Left,80,1,‘I Don’t Want to Die for It’: School Board Members Face Rising Threats,New York Times (News), Lean Left,"It was only days after Sami Al-Abdrabbuh was re-elected to the school board in Corvallis, Ore., that the text messages arrived.

The first, he said, was a..."
Impeachment- Lean Right,80,4,White House says 'Republicans are lying' about critical race theory in schools,Washington Examiner, Lean Right,White House principal deputy press secretary Karine Jean-Pierre told reporters on Thursday that the issue of race and education in the Virginia gubernatorial...
Impeachment - moderate,80,3,Democrats eye Hispanic candidates to boost swing-district turnout,Axios,moderate,The campaign arm of the Congressional Hispanic Caucus is launching an aggressive effort to recruit more Hispanic and Latino candidates to compete next year in...
Impeachment- Left,80,2,Juror in Kyle Rittenhouse trial dismissed for telling joke about police shooting of Jacob Blake,CNN (Online News), Left,A juror was dismissed in Kyle Rittenhouse's homicide trial Thursday morning after he told a joke to a deputy earlier this week about the police...
Inequality- Right,81,5,Rep. Jim Jordan: Email Shows FBI Using ‘Counterterrorism Tools’ Against ‘Concerned Parents’,The Daily Signal, Right,"The top Republican on the House Judiciary Committee is asking Attorney General Merrick Garland about his October testimony to that same committee,..."
Inequality - moderate,81,3,The media’s epic fail,Axios,moderate,"A reckoning is hitting news organizations for years-old coverage of the 2017 Steele dossier, after the document's primary source was charged with lying to..."
Inequality- Left,81,2,The Crippling Blow for the Steele Dossier,New York Magazine, Left,"Christopher Steele, the former MI6 spy who compiled the notorious dossier during the 2016 campaign alleging ties between Donald Trump and Russia, made a..."
Inequality- Lean Right,81,4,Adam Schiff refuses to concede regrets when confronted over Steele dossier,Washington Examiner, Lean Right,Rep. Adam Schiff refused to admit any remorse when grilled again about his promotion of British ex-spy Christopher Steele's now-discredited dossier...
Inequality - moderate,81,3,Trump-Russia Steele dossier analyst Igor Danchenko pleads not guilty in FBI lie case prosecuted by John Durham,CNBC,moderate,The analyst charged with lying to FBI agents about his work on a controversial Steele Dossier linking Russia to former President Donald Trump...
Inequality- Lean Left,81,1,Supreme Court weighs case involving FBI surveillance of Muslim community in California,CBS News (Online), Lean Left,"The Supreme Court on Monday grappled with whether to allow a case brought by three Muslim men against the FBI to proceed, with the men arguing the..."
Inequality- Lean Right,81,4,FBI Raid of James O'Keefe's House Is a Blow to Press Freedom,Robby Soave, Lean Right,"The FBI searched the home of James O'Keefe—a conservative activist who films undercover videos for his organization, Project Veritas—on Saturday, reportedly..."
Inequality - moderate,81,3,Indictment of Steele dossier source is more bad news for multiple media outlets,Erik Wemple,moderate,MSNBC host Rachel Maddow in December 2017 aired a special report on the Trump-Russia dossier compiled by former British intelligence officer Christopher Steele...
Inequality- Left,81,2,Analyst Who Reported Trump’s ‘Pee Tape’ Rumor Was Just Arrested,Vice, Left,"Federal law enforcement have arrested Igor Danchenko, a Russian analyst who reported the infamous “pee tape” rumor involving President Donald Trump...."
Inequality- Right,81,5,Where John Durham’s Investigation Is Heading,Andrew C. McCarthy, Right,Last week’s indictment of Igor Danchenko has the commentariat buzzing. If special counsel John Durham has cracked the core of the Russiagate...
Inequality - moderate,81,3,Perspectives: Durham Probe Indicts Steele Dossier Source,AllSides Headline Roundup,moderate,"Last Thursday, the primary source for the 2016 “Steele dossier” of allegations against then-candidate Donald Trump was arrested and charged with lying to the..."
Inequality- Lean Left,81,1,'We did not sic the FBI on parents': Attorney General Merrick Garland defends school memo,USA TODAY, Lean Left,"Attorney General Merrick Garland defended his memo about assisting local school officials against violence and threats of violence, as Senate..."
Inequality- Lean Right,81,4,DOJ and FBI gave cover to Steele dossier source accused of lying,Washington Examiner, Lean Right,"The Justice Department and the FBI continued defending their use of information from Christopher Steele’s main source, Igor Danchenko, even after interviews..."
Inequality - moderate,81,3,US to restore full pension of FBI official fired under Trump,Associated Press,moderate,Former FBI Deputy Director Andrew McCabe has won back his full pension as part of a settlement of his lawsuit arising from his firing during the Trump...
Inequality- Lean Left,81,1,"2020 saw highest number of reported hate crimes in two decades, updated FBI data shows",CBS News (Online), Lean Left,"The number of hate crimes reported in 2020 was the highest recorded in two decades, according to updated FBI data released Monday. The FBI..."
ISIS- Lean Right,82,4,Jackie Speier is eighth House Democrat to announce retirement in 2022,Washington Examiner, Lean Right,"California Democratic Rep. Jackie Speier announced that she will not seek reelection in 2022, adding to a Democratic exodus that is expected to grow as members..."
ISIS - moderate,82,3,Republicans introduce bill to decriminalize marijuana,Axios,moderate,"Rep. Nancy Mace (R-S.C.) introduced legislation Monday to federally decriminalize and tax marijuana, an alternative to Democratic-led attempts to..."
ISIS- Lean Left,82,1,South Carolina Republican introduces bill to decriminalize marijuana at federal level,NBC News (Online), Lean Left,"Rep. Nancy Mace, a first-term Republican from South Carolina, introduced a bill Monday to decriminalize cannabis at the federal level, which she..."
ISIS- Right,82,5,Republican-Backed Bill Would Decriminalize Marijuana,The Daily Caller, Right,"South Carolina Republican Rep. Nancy Mace introduced a bill Monday that would decriminalize marijuana nationwide.

The bill, titled the States Reform Act,..."
ISIS - moderate,82,3,South Carolina Republican Introduces Bill to Federally Decriminalize Marijuana,AllSides Headline Roundup,moderate,"On Monday, Rep. Nancy Mace (R-S.C.) introduced a bill that would federally decriminalize marijuana. The proposal, titled the States Reform Act, would remove..."
ISIS- Lean Left,82,1,Bannon Indicted on Contempt Charges Over House’s Capitol Riot Inquiry,New York Times (News), Lean Left,"Stephen K. Bannon, a onetime aide to former President Donald J. Trump, was indicted by a federal grand jury on Friday on two counts of contempt of..."
ISIS- Lean Right,82,4,Steve Bannon indicted for contempt of Congress in Jan. 6 investigation,Washington Examiner, Lean Right,"Steve Bannon was indicted by a federal grand jury for defying a subpoena from the House committee investigating the Jan. 6 Capitol riot.

The announcement..."
ISIS - moderate,82,3,Steve Bannon indicted for contempt of Congress,Axios,moderate,A federal grand jury on Friday indicted former Trump adviser Steven Bannon on two counts of contempt of Congress for his failure to comply with a...
ISIS- Left,82,2,January 6 committee interested in at least 5 people from Pence's inner circle,CNN (Online News), Left,The House select committee investigating January 6 is interested in gathering information from at least five members of former Vice President Mike...
ISIS- Right,82,5,January 6 Committee Subpoenas Top Trump Advisers,National Review, Right,The House select committee investigating the January 6 Capitol riot issued six new subpoenas on Monday for associates and allies of former president Trump....
ISIS - moderate,82,3,Bannon Indicted for Contempt of Congress,AllSides Headline Roundup,moderate,A federal grand jury charged former Trump adviser Steve Bannon for contempt of Congress on Friday after he refused a subpoena from the House Select Committee...
ISIS- Lean Left,82,1,"Jan. 6 committee subpoenas top Trump officials, allies who supported effort to overturn election",NBC News (Online), Lean Left,The House committee investigating the Jan. 6 attack on the Capitol issued a new batch of subpoenas on Monday to former Trump administration and re-...
ISIS- Lean Right,82,4,Capitol riot committee subpoenas Michael Flynn and five other Trump allies,Washington Examiner, Lean Right,"The House Jan. 6 committee issued six fresh subpoenas to six allies of former President Donald Trump.

Former White House national security adviser Michael..."
ISIS - moderate,82,3,"Jan. 6 panel issues six new subpoenas for Eastman, top Trump aides",The Hill,moderate,"The House committee investigating the Jan. 6 attack on the Capitol sent a number of subpoenas on Monday, including to top 2020 Trump campaign aides and the..."
ISIS- Lean Left,82,1,Republican wave builds to take back the House,Politico, Lean Left,"Republicans could hardly be better poised to recapture the House majority.

Increasingly aggressive redistricting, a diverse slate of candidates raking..."
Israel- Lean Right,83,4,"CIA sounds alarm over capture, killing of dozens of informants: report",New York Post (News), Lean Right,"The CIA has called on its frontline spies to step up their operational security around the world after dozens of informants have been arrested, killed or..."
Israel - moderate,83,3,CIA head meets Taliban leader as fears for Afghanistan grow,Associated Press,moderate,"The director of the CIA met with the Taliban’s top political leader in Kabul, an official said Tuesday, as more reports emerged of abuses in areas held by the..."
Israel- Left,83,2,Biden Delays the Release of JFK Assassination Records,Mother Jones, Left,The Biden administration announced just before 9:30 pm on Friday night that it would once again delay the long-anticipated release of secret documents...
Israel- Lean Right,83,4,CIA director meets Taliban leader in highest-level Afghanistan talks yet,Washington Examiner, Lean Right,Central Intelligence Agency Director William Burns met in person with top Taliban leader Abdul Ghani Baradar during a low-publicity rendezvous in Kabul on...
Israel - moderate,83,3,CIA Director Meets with Taliban's Top Political Leader,AllSides Headline Roundup,moderate,"On Monday, CIA Director William Burns met in person with Taliban founding member and political leader Abdul Ghani Baradar. The secretive meeting is the first..."
Israel- Lean Left,83,1,"Lawmakers pressure secretary of state to act on ""crisis"" posed by ""Havana syndrome"" as cases mount",CBS News (Online), Lean Left,"A bipartisan group of senators is urging Secretary of State Antony Blinken to take immediate action in response to proliferating reports of ""Havana Syndrome,""..."
Israel- Lean Right,83,4,State's 'rosy' Afghanistan outlook at odds with grim intelligence before Taliban takeover,Washington Examiner, Lean Right,The top Republican on the House Foreign Affairs Committee pointed to the “rosy picture” the State Department had painted about Afghanistan as opposed to the...
Israel - moderate,83,3,Biden Wanted to Leave Afghanistan. He Knew the Risks.,Wall Street Journal (News),moderate,"In his Monday speech defending America’s chaotic withdrawal from Afghanistan, President Biden said he would not shrink from his share of responsibility..."
Israel- Left,83,2,The Supreme Court confronts the CIA’s worst-kept secret,Vox, Left,"Can America’s legacy of torture be a “state secret” if it isn’t even a secret?

United States v. Zubaydah, which the Supreme Court will hear on Wednesday, is..."
Israel- Lean Right,83,4,"So Long as You Carry a Cellphone, the Government Can Track You",Reason, Lean Right,"Cell phones are convenient devices, handily connecting us with loved ones, paying bills, accessing information—and treacherously reporting on our every move...."
Israel - moderate,83,3,US Intelligence Reportedly Warned of Possible Taliban Takeover,AllSides Headline Roundup,moderate,"Multiple outlets reported Tuesday that generals, diplomats and the U.S. intelligence community increasingly warned of a possible Taliban takeover in..."
Israel- Lean Left,83,1,"Kidnapping, assassination and a London shoot-out: Inside the CIA's secret war plans against WikiLeaks",Yahoo News, Lean Left,"In 2017, as Julian Assange began his fifth year holed up in Ecuador’s embassy in London, the CIA plotted to kidnap the WikiLeaks founder, spurring heated..."
Israel- Right,83,5,"Biden’s CIA Pick, William Burns, Leads A Think Tank With Close Ties To China",The Daily Caller, Right,"William J. Burns, who is President Joe Biden’s nominee for director of the CIA, is president of a think tank that has received up to $2 million from a Chinese..."
Israel - moderate,83,3,CIA Director Says He Is Escalating Efforts To Solve 'Havana Syndrome' Mystery,NPR (Online News),moderate,CIA Director William Burns says he has redoubled the agency's efforts to uncover the cause of Havana Syndrome — the mysterious set of ailments that...
Israel- Left,83,2,"Meet Mansoor Adayfi: I Was Kidnapped as a Teen, Sold to the CIA & Jailed at Guantánamo for 14 Years",Democracy Now, Left,"We speak with Mansoor Adayfi, a former Guantánamo Bay detainee who was held at the military prison for 14 years without charge, an ordeal he details in his new..."
Justice- Lean Right,84,4,Taxonomy Of Woke Religion,The American Conservative, Lean Right,Here’s a Shellenberger essay explaining why wokeism is a religion. He begins by pointing out how the devoutly woke believe things that are demonstrably...
Justice - moderate,84,3,Houston Fire Department logs reveal how little control authorities had of the crowd chaos at Astroworld,Insider,moderate,Handwritten logs from the Houston Fire Department reveal how little control authorities and security personnel had of the crowd chaos throughout Travis...
Justice- Left,84,2,Kyle Rittenhouse Doesn’t Need to Be Acquitted to Win,Mother Jones, Left,"Kyle Rittenhouse was 17 when he killed two Black Lives Matter protesters in Kenosha, Wisconsin, and wounded another. Rittenhouse, who is now 18, has been..."
Justice- Lean Right,84,4,Why some Americans trust Joe Rogan more than Dr. Anthony Fauci,Deseret News, Lean Right,"Green Bay Packers quarterback Aaron Rodgers, under fire for not being vaccinated for COVID-19, says he developed his own health protocol after consulting with..."
Justice - moderate,84,3,"Britney Spears’ Conservatorship Terminated After 13 Years, Finally Giving Freedom to Pop Star",Variety,moderate,"Britney Spears’ conservatorship has been terminated after 13 years, a California court has determined.

Friday’s hearing marked the most pivotal hearing for..."
Justice- Left,84,2,First Lawsuits Filed After Travis Scott Concert Leaves 8 Dead,HuffPost, Left,"Attendees of Travis Scott’s Astroworld music festival sued the rapper and the event’s organizer, Live Nation, on Sunday, in what are expected to be the first..."
Justice- Right,84,5,"Travis Scott, Drake sued over Astroworld concert incident",Fox News (Online News), Right,Rappers Travis Scott and Drake have been sued over the incident at the former’s Astroworld Festival on Friday that left eight people dead....
Justice - moderate,84,3,Do election failures mark the end for 'defund the police'?,Yahoo! The 360,moderate,"After George Floyd was murdered by Minneapolis Police Officer Derek Chauvin in May 2020, the city became the epicenter of a nationwide movement pushing for..."
